"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"89","ERR594412","TARA_109_SRF","Marine","Virome",98.7,5969720678,60474498,349220,23347,6531,2515,651,196,320407418,143633903,93544195,66245712,38600176,23290729,23347,143633903,8509,2528,3121,16924,1886,1280,1256,843,368,1184,52,44,910,176,149,33
"90","ERR599118","TARA_109_SRF","Marine","Mixed MG",99.1,20198381333,203855086,1350861,43919,8712,2226,258,32,812679821,183239782,80644068,37107817,9303252,2073874,43919,183239782,4366,2271,11063,35313,329,160,155,135,52,150,2,8,118,14,9,17
"91","SRR8487035","B0H_L006_harvest","Soil","Virome",143.8,2991505945,20809892,294496,12449,3022,1104,288,36,211504531,64482545,36864368,23884834,11746279,2517362,12449,64482545,6213,2376,2190,9479,1094,892,746,671,306,663,223,6,572,150,101,47
"92","SRR8487026","B0H_L006_harvest","Soil","Mixed MG",129,4436633769,34391070,550704,1803,79,10,5,0,230508248,5201396,676464,245612,174415,0,1803,5201396,2687,2087,653,1549,9,6,5,5,2,4,2,0,2,0,2,0
"93","SRR8487010","B0H_L006_pre-planting","Soil","Virome",149.5,2458758295,16443562,517040,12875,2916,1068,300,43,298231735,64988915,35966312,23456806,12148825,2884951,12875,64988915,5920,2348,2277,9871,1057,805,673,609,278,599,199,7,494,146,82,42
"94","SRR8487024","B0H_L006_pre-planting","Soil","Mixed MG",148.8,805081303,5409504,200794,10,0,0,0,0,68583756,24634,0,0,0,0,10,24634,2315,2120,5,9,0,0,0,0,0,0,0,0,0,0,0,0
"95","SRR8487036","B0L_L006_harvest","Soil","Virome",136.2,2116897834,15537788,186805,8124,1930,709,160,27,133081313,41020384,22900122,14510917,6472081,1727266,8124,41020384,5990,2360,1492,6232,703,557,428,417,192,423,132,2,358,84,62,36
"96","SRR8487027","B0L_L006_harvest","Soil","Mixed MG",132.7,4653717559,35079628,653885,1508,22,4,1,0,272316920,3970552,194015,85874,40743,0,1508,3970552,2485,2067,606,1313,4,3,2,3,1,3,0,0,1,2,0,0
"97","SRR8487011","B0L_L006_pre-planting","Soil","Virome",149.3,2193859565,14697092,460174,10748,2346,855,222,50,256870971,52687252,28345424,18272445,9110956,3116764,10748,52687252,5566,2326,1968,8299,847,724,607,559,240,550,172,2,467,125,59,49
"98","SRR8487025","B0L_L006_pre-planting","Soil","Mixed MG",148.8,907411955,6097410,268524,23,4,1,0,0,91859353,80678,32314,11714,0,0,23,80678,3636,2079,6,20,0,0,0,0,0,0,0,0,0,0,0,0
"99","SRR8487015","B2R2H_L006_harvest","Soil","Virome",121.9,857219203,7030086,74956,1982,434,152,43,6,45239412,9664629,5199226,3288968,1708595,432017,1982,9664629,5641,2310,365,1531,151,90,73,75,39,72,18,0,42,23,18,4
"100","SRR8487030","B2R2H_L006_harvest","Soil","Mixed MG",131.4,5141583142,39131696,708621,2258,94,7,0,0,298620701,6385360,635822,83514,0,0,2258,6385360,2681,2087,855,1946,0,0,0,0,0,0,0,0,0,0,0,0
"101","SRR8487017","B2R2H_L006_pre-planting","Soil","Virome",147.4,2822836655,19156360,498523,14124,3102,1121,291,62,304349232,69310363,37400331,24125887,12175311,3924826,14124,69310363,5612,2327,2583,10902,1113,852,714,644,297,631,210,11,535,143,86,47
"102","SRR8487028","B2R2H_L006_pre-planting","Soil","Mixed MG",148.2,1093020639,7376112,303215,80,0,0,0,0,108475493,189005,0,0,0,0,80,189005,2296,2032,36,71,0,0,0,0,0,0,0,0,0,0,0,0
"103","SRR8487014","B2R2L_L006_harvest","Soil","Virome",140.5,2456618736,17483318,244343,10151,2425,847,208,33,173192273,50980297,28286895,17648431,8253845,2018185,10151,50980297,5814,2361,1905,7799,835,630,492,493,210,475,149,6,394,104,80,34
"104","SRR8487031","B2R2L_L006_harvest","Soil","Mixed MG",130,3089569453,23769820,428013,616,27,10,3,2,176505165,1894693,410108,296639,156828,110057,616,1894693,2671,2070,193,523,10,6,5,6,1,5,1,0,2,1,2,1
"105","SRR8487016","B2R2L_L006_pre-planting","Soil","Virome",149.9,2803310564,18702634,533831,14388,3126,1072,267,56,317552602,69809624,37085568,23154990,11489928,3904735,14388,69809624,5481,2324,2709,11147,1056,809,663,641,257,631,177,1,481,147,93,60
"106","SRR8487029","B2R2L_L006_pre-planting","Soil","Mixed MG",148.6,845786310,5692398,253965,43,3,2,1,0,87433695,151037,56976,50725,29387,0,43,151037,2736,2049,9,36,0,0,0,0,0,0,0,0,0,0,0,0
"107","SRR8487018","B3R2H_L006_harvest","Soil","Virome",142.9,3452589863,24168076,305114,14154,3446,1212,290,46,224329758,72057575,40450833,25275309,11619425,2828727,14154,72057575,5990,2373,2639,10835,1202,1014,838,719,355,764,243,7,673,151,102,61
"108","SRR8487039","B3R2H_L006_harvest","Soil","Mixed MG",131.3,4838295576,36851150,719568,4610,174,12,3,0,329786521,13079807,1250043,233259,118023,0,4610,13079807,2688,2100,1744,3972,10,6,6,6,1,3,3,0,2,3,0,0
"109","SRR8487020","B3R2H_L006_pre-planting","Soil","Virome",148.9,2743297694,18429292,510842,13420,2755,888,211,37,301586518,62250698,31236975,18629355,8823794,2501855,13420,62250698,5030,2299,2733,10513,882,699,570,544,227,556,139,4,456,103,74,40
"110","SRR8487032","B3R2H_L006_pre-planting","Soil","Mixed MG",148.6,962321180,6475488,310083,78,5,1,0,0,110338248,218651,39768,12561,0,0,78,218651,2490,2082,29,68,0,0,0,0,0,0,0,0,0,0,0,0
"111","SRR8487021","B3R2L_L006_harvest","Soil","Virome",139.1,2981373594,21438784,252022,10429,2546,883,218,37,177817445,53220276,30076417,18738644,8918580,2370827,10429,53220276,6050,2371,1913,7980,871,703,570,527,238,528,173,2,439,123,71,48
"112","SRR8487040","B3R2L_L006_harvest","Soil","Mixed MG",130.1,3745792394,28781472,483499,626,30,11,2,0,196468176,1799795,310830,184777,65854,0,626,1799795,2604,2076,224,538,11,6,5,6,2,5,1,0,1,4,1,0
"113","SRR8487034","B8R2H_L006_harvest","Soil","Virome",135.3,2582852582,19087484,213642,8650,2115,726,170,34,146792560,43983922,24605297,15173025,7083239,2144526,8650,43983922,5891,2388,1634,6628,723,584,454,453,205,459,123,2,384,93,61,31
"114","SRR8487012","B8R2H_L006_harvest","Soil","Mixed MG",132,4871626908,36905406,728391,3747,209,30,2,0,319744237,11043078,1607713,486437,71734,0,3747,11043078,2784,2104,1351,3209,19,7,6,6,1,5,2,0,4,0,2,1
"115","SRR8487022","B8R2H_L006_pre-planting","Soil","Virome",149.8,3009703747,20085462,522873,15371,3414,1193,327,55,324214695,76005637,41193190,26206961,13563165,3511335,15371,76005637,5619,2341,2813,11848,1163,964,812,739,302,714,243,7,603,161,97,59
"116","SRR8487037","B8R2H_L006_pre-planting","Soil","Mixed MG",148.7,904180793,6079778,247727,92,4,0,0,0,89223069,246743,34295,0,0,0,92,246743,2398,2077,36,80,0,0,0,0,0,0,0,0,0,0,0,0
"117","SRR8487023","B8R2L_L006_harvest","Soil","Virome",143.3,2799856143,19538984,272576,11179,2744,985,244,42,192835831,56938867,32347955,20407041,9722276,2680351,11179,56938867,6069,2367,2039,8553,975,818,643,605,276,636,173,9,548,119,80,50
"118","SRR8487013","B8R2L_L006_harvest","Soil","Mixed MG",135.9,3984243526,29312302,634580,2381,201,10,1,0,270726224,7348186,1390922,143810,40298,0,2381,7348186,2963,2130,828,2025,4,3,2,3,1,1,2,0,1,0,0,1
"119","SRR8487019","B8R2L_L006_pre-planting","Soil","Virome",149.9,2609385311,17407778,484287,14476,3175,1113,294,56,298661458,71430730,38594096,24697367,12621039,3843881,14476,71430730,5649,2324,2632,11158,1100,882,725,666,289,679,199,4,571,137,97,42
"120","SRR8487038","B8R2L_L006_pre-planting","Soil","Mixed MG",148.6,1190293359,8011630,344549,153,6,0,0,0,126716281,403866,35330,0,0,0,153,403866,2463,2076,62,134,0,0,0,0,0,0,0,0,0,0,0,0
