"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"23","Ga0485175","ME_2020-07-24_23.5m","Freshwater","Virome",129.9,31908872350,245622090,1085375,81204,22799,7745,1300,222,996900003,423585910,248974369,146253606,52392769,16066899,81204,423585910,6302,2443,16137,61981,2810,1671,1542,1230,446,1509,99,63,1069,260,213,118
"24","Ga0485158","ME_2020-07-24_23.5m","Freshwater","Mixed MG",149.6,22321714686,149187596,670816,81104,18158,5765,979,163,886288456,376548304,192194208,108196609,38561469,11249014,81104,376548304,5132,2324,17385,63605,1265,825,686,615,234,662,105,58,454,114,94,132
"25","Ga0485173","ME_2020-07-24_5m","Freshwater","Virome",129.9,37335516976,287410402,1069440,67509,18536,6258,983,156,897811500,346286269,200214064,116207128,38919739,11466147,67509,346286269,6135,2423,13640,51751,3420,2004,1933,1467,592,1833,124,47,1325,327,257,77
"26","Ga0485159","ME_2020-07-24_5m","Freshwater","Mixed MG",149.5,14147428805,94601082,517293,60776,12018,3289,501,114,659716403,264488554,121977947,63149434,23482299,10514843,60776,264488554,4581,2284,14166,48382,749,492,467,396,150,424,50,18,306,66,72,28
"27","Ga0485176","ME_2020-08-05_15m","Freshwater","Virome",129.9,34999192871,269467920,1072653,70343,18970,6727,1289,258,933734472,375757310,223106454,139538136,59537584,25189769,70343,375757310,6548,2439,12785,53292,2740,1620,1492,1177,455,1458,94,68,1121,218,181,86
"28","Ga0485161","ME_2020-08-05_15m","Freshwater","Mixed MG",149.7,21332816636,142542116,645562,85007,17515,5258,1121,282,882315141,390633092,192510047,110349953,50363380,21936330,85007,390633092,4914,2319,18082,66831,695,463,371,389,78,344,65,54,249,38,28,142
"29","Ga0485177","ME_2020-08-05_23.5m","Freshwater","Virome",129.9,34538932746,265915016,1124603,73888,19647,6385,946,112,954444294,367642972,205835091,115056542,36125937,8586261,73888,367642972,5827,2401,15564,57080,2558,1516,1388,1133,466,1357,94,65,1016,198,184,107
"30","Ga0485162","ME_2020-08-05_23.5m","Freshwater","Mixed MG",149.2,15647701782,104901578,523219,56562,11892,3563,585,103,651468969,252015683,121913156,65912904,22777447,6742261,56562,252015683,4810,2295,12727,44777,894,555,431,441,152,475,51,29,317,72,69,85
"31","Ga0485178","ME_2020-08-25_15m","Freshwater","Virome",130,37147004458,285850178,730066,63100,17949,5487,802,145,710160669,325593808,189195979,104067343,36678520,14993287,63100,325593808,6098,2456,13152,48387,2139,1250,1120,921,355,1070,120,60,839,187,117,99
"32","Ga0485164","ME_2020-08-25_15m","Freshwater","Mixed MG",149.5,17424013840,116519824,585110,72376,14110,3772,652,168,763196049,315096354,144565667,75363037,30799328,14794844,72376,315096354,4547,2290,16834,57632,526,350,271,284,72,261,52,37,204,35,19,90
