,SRR8487029,SRR8487034,SRR8487015,SRR8487030,SRR8487021,SRR8487010,SRR8487022,SRR8487020,SRR8487018,SRR8487035,SRR8487011,SRR8487013,SRR8487023,SRR8487039,SRR8487032,SRR8487025,SRR8487014,SRR8487036,SRR8487019,SRR8487017,SRR8487037,SRR8487024,SRR8487031,SRR8487027,SRR8487026,SRR8487028,SRR8487040,SRR8487038,SRR8487012,SRR8487016
SRR8487035_vRhyme_unbinned_692,0,0.9055854,0.4233946,0.011021061,0.98113257,0.9088117,0.8341937,0.68611914,0.97302806,0.95663846,0.8210562,0.003871567,0.99050176,0.008827173,0,0,0.9477338,0.92641443,0.9026946,0.84072375,0,0,0,0.002090646,0.00232294,0,0.006968821,0,0.005471815,0.8727287
SRR8487010_vRhyme_unbinned_433,0,0.006384017,0.08359308,0,0.0702993,0.9996996,0.13590446,0.20774344,0.011378572,0.5345676,0.49190733,0.008862519,0.0727778,0,0,0,0.035750497,0.02850276,0.40936574,0.9970333,0,0,0,0,0,0,0,0,0,0.7866987
SRR8487016_vRhyme_unbinned_230,0.022245515,0,0.04449103,0,0.038201723,0,0.38091078,0.026962496,0.040647566,0,0.18163289,0,0.010831586,0.003144654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR8487034_vRhyme_unbinned_456,0,0.9986033,0,0,0,0,0.004320075,0.91122735,0.98107934,0,0,0,0,0.001266789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010718984,0
SRR8487011_vRhyme_unbinned_364,0,0.79886025,0.1941384,0.008141113,0.6689281,0.9412754,0.98757124,0.99451834,0.92282224,0.636635,0.99924016,0,0.7558752,0.019701492,0,0.017964723,0.6012483,0.24564451,0.9947354,0.94800544,0.005807327,0,0.014274084,0.01660787,0.03191316,0.01275441,0.011777476,0.030339213,0.028005427,0.97031206
SRR8487018_vRhyme_unbinned_594,0.0106878,0.64475787,0.15631816,0,0.767195,0.7718482,0.9051185,0.8148902,0.91747856,0.85095245,0.7384761,0,0.7701032,0.005452959,0,0,0.7675585,0.75199944,0.8465901,0.9644467,0,0,0,0.026683146,0.011269449,0,0.015922641,0.020503126,0.04122437,0.7898066
SRR8487035_vRhyme_unbinned_19,0,0.6435174,0.6127904,0,0.9671913,0.7261221,0.683071,0.69814306,0.89982516,0.9828462,0.4089433,0.007494379,0.99067366,0,0,0,0.9507036,0.9928387,0.8312099,0.6613373,0,0,0.02181697,0,0.013573154,0,0.032891996,0,0.030643685,0.82937795
SRR8487022_vRhyme_unbinned_689,0.0176536,0.9678204,0.07568807,0.003614123,0.71073115,0.70183486,0.999722,0.9914512,0.9820684,0.24867946,0.98651654,0,0.38615513,0.067417294,0,0,0.7155268,0.78141505,0.68661386,0.5272449,0.048026133,0,0.016402557,0.083333336,0,0.01793161,0.018418126,0,0.09570476,0.9444676
SRR8487022_vRhyme_unbinned_598,0.004277672,0.058690544,0.010727426,0.002039098,0.05800346,0.006649231,1,0.09211401,0.042222615,0.05862405,0.04268806,0.004565805,0.075557426,0,0,0,0.05029035,0.00890997,0.049248636,0.030209672,0,0,0,0,0.006737887,0,0,0,0,0.017952923
SRR8487019_vRhyme_unbinned_356,0.003411658,0.48374853,0.12112923,0.015183415,0.7600775,0.9567703,0.95358914,0.948318,0.9239293,0.79754424,0.9945137,0.027400838,0.7874168,0.053879607,0.01401546,0.003688279,0.8010327,0.44340798,0.99528205,0.98091316,0,0.011756389,0.004794763,0.00849841,0.043506324,0.019440304,0.015521508,0.029244978,0.033455763,0.95907545
