,SRR9162900,SRR9161506,SRR9161509,SRR9161503,SRR9162908,SRR9162903,SRR9162902,SRR9161501,SRR9162899,SRR9161504,SRR9162904,SRR9161505,SRR9162907,SRR9161507,SRR9162906,SRR9162901,SRR9161510,SRR9161502,SRR9162905,SRR9161500
vRhyme_unbinned_16__SRR9162906_80_37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_38,0,0,12,0,1,0,0,0,0,0,0,0,0,188,30,1,0,19,0,0
vRhyme_unbinned_16__SRR9162906_80_39,0,0,7,0,0,0,0,0,0,0,0,0,0,201,63,0,0,22,0,0
vRhyme_unbinned_16__SRR9162906_80_42,0,0,12,0,1,0,0,0,0,0,0,0,2,177,24,0,2,32,0,0
vRhyme_unbinned_16__SRR9162906_80_45,0,0,0,0,1,0,0,0,0,0,0,0,0,937,141,0,0,0,0,2
vRhyme_unbinned_16__SRR9162906_80_47,0,0,60,0,10,0,0,0,18,0,0,0,26,2037,290,23,21,227,0,4
vRhyme_unbinned_16__SRR9162906_80_49,0,0,0,0,3,0,0,0,0,0,0,0,0,402,82,4,3,32,0,0
vRhyme_unbinned_16__SRR9162906_80_51,0,0,102,0,8,0,0,0,0,0,0,0,5,1675,192,13,2,130,0,2
vRhyme_unbinned_16__SRR9162906_80_54,0,0,0,0,0,0,0,0,0,0,0,0,0,108,29,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_55,0,0,0,0,1,0,0,0,0,0,0,0,0,152,22,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_57,0,0,0,0,1,0,0,0,0,0,0,0,0,101,39,1,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_58,0,0,0,0,0,0,0,0,0,0,0,0,0,95,26,0,0,7,0,0
vRhyme_unbinned_16__SRR9162906_80_61,0,0,0,0,1,0,0,0,0,0,0,0,0,29,28,1,0,7,0,0
vRhyme_unbinned_16__SRR9162906_80_64,0,0,0,0,0,0,0,0,0,0,0,0,2,215,63,0,0,4,0,0
vRhyme_unbinned_16__SRR9162906_80_67,0,0,19,0,0,0,0,0,0,0,0,0,2,363,58,3,0,3,0,0
vRhyme_unbinned_16__SRR9162906_80_69,0,0,0,0,0,0,0,0,0,0,0,0,0,241,47,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_70,0,0,46,0,6,0,0,0,0,0,0,0,5,638,105,0,9,20,0,2
vRhyme_unbinned_16__SRR9162906_80_71,0,0,2,0,2,0,0,0,0,0,0,0,0,67,18,0,2,1,0,0
vRhyme_unbinned_16__SRR9162906_80_74,0,0,0,0,0,0,0,0,0,0,0,0,0,35,31,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_75,0,0,0,0,0,0,0,0,0,0,0,0,0,64,27,0,0,6,0,0
vRhyme_unbinned_16__SRR9162906_80_78,0,0,35,0,0,0,0,0,0,0,0,0,15,843,119,5,8,81,0,2
vRhyme_unbinned_16__SRR9162906_80_79,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,2,0,0
vRhyme_unbinned_16__SRR9162906_80_81,0,0,0,0,0,0,0,0,0,0,0,0,0,124,23,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_82,0,0,0,0,0,0,0,0,0,0,0,0,0,180,55,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_83,0,0,0,0,0,0,0,0,0,0,0,0,0,143,36,4,0,8,0,2
vRhyme_unbinned_16__SRR9162906_80_86,0,0,0,0,0,0,0,0,0,0,0,0,0,148,31,0,0,5,0,0
vRhyme_unbinned_16__SRR9162906_80_88,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_89,0,0,0,0,8,0,0,0,0,0,0,0,0,301,54,4,0,5,0,0
vRhyme_unbinned_16__SRR9162906_80_90,0,0,0,0,2,0,0,0,0,0,0,0,0,18,31,5,5,5,0,0
vRhyme_unbinned_16__SRR9162906_80_93,0,0,0,0,0,0,0,0,0,0,0,0,0,549,136,4,5,19,0,2
vRhyme_unbinned_22__SRR9162906_288_9,0,0,4,8,59,0,8,0,0,5,0,0,11,5,36,0,18,0,0,0
vRhyme_unbinned_22__SRR9162906_288_14,0,40,0,3,27,0,4,2,0,0,0,0,5,2,19,2,1,0,4,0
vRhyme_unbinned_22__SRR9162906_288_22,0,7,3,2,27,0,0,0,0,0,0,0,8,0,8,0,0,2,9,0
vRhyme_unbinned_22__SRR9162906_288_25,11,529,119,72,207,0,11,10,12,9,0,2,82,48,113,0,147,16,46,2
vRhyme_unbinned_52__SRR9162906_497_1,0,91,9,0,0,6,0,0,5,16,0,0,8,80,75,0,0,0,11,0
vRhyme_unbinned_52__SRR9162906_497_3,0,230,37,0,0,0,0,0,7,0,0,0,32,343,206,0,1,0,33,7
vRhyme_unbinned_52__SRR9162906_497_4,0,238,58,0,0,0,0,0,7,0,0,0,39,337,195,0,0,0,56,4
vRhyme_unbinned_52__SRR9162906_497_7,0,7,0,0,0,0,0,2,0,0,0,0,2,4,24,0,0,0,2,0
vRhyme_unbinned_52__SRR9162906_497_8,0,48,13,0,0,0,0,0,0,0,0,0,3,53,35,1,0,0,3,5
vRhyme_unbinned_52__SRR9162906_497_14,0,0,0,0,0,0,0,0,0,0,0,0,0,65,111,2,0,0,0,0
vRhyme_unbinned_52__SRR9162906_497_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vRhyme_unbinned_31__SRR9162906_135_21,0,80,0,22,37,0,56,0,0,0,0,2,0,71,113,10,0,47,4,0
vRhyme_unbinned_31__SRR9162906_135_28,98,788,1235,132,813,121,111,389,295,121,19,23,347,122,229,149,6,1496,180,13
vRhyme_unbinned_31__SRR9162906_135_30,31,273,247,21,253,44,43,97,126,16,10,1,141,39,94,75,0,358,52,0
vRhyme_unbinned_31__SRR9162906_135_32,19,115,116,4,137,25,29,12,72,3,4,2,78,14,65,42,0,169,27,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_44,0,1,0,0,17,0,0,0,0,0,0,6,0,3,33,1,12,9,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_49,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_55,0,0,0,2,7,0,0,0,0,0,0,0,0,1,20,0,2,2,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_57,0,0,0,0,20,0,1,0,0,0,0,2,0,6,40,0,4,3,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_58,0,0,0,0,16,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_60,4,53,2,2,9,0,0,19,0,0,0,0,2,12,108,35,1,269,8,1
vRhyme_unbinned_24__SRR9162906_64_fragment_1_61,0,2,0,0,13,0,0,0,0,0,0,0,0,2,29,1,5,5,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_63,0,0,0,0,10,0,0,0,0,0,0,6,0,1,26,0,2,7,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_64,0,0,0,0,34,0,0,0,0,0,0,6,0,6,54,0,11,2,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_65,0,7,2,0,30,0,0,0,0,0,0,1,0,2,72,0,10,5,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_68,0,3,0,0,19,0,0,0,0,0,0,2,0,2,50,1,9,0,0,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_79,0,0,0,0,27,0,3,0,0,0,0,1,1,11,78,0,10,3,2,0
vRhyme_unbinned_24__SRR9162906_64_fragment_1_81,0,2,1,0,24,0,0,0,0,0,0,14,0,2,46,9,12,24,0,0
vRhyme_unbinned_7__SRR9162906_456_2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,24,0,0,11,0,0
vRhyme_unbinned_7__SRR9162906_456_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
vRhyme_unbinned_7__SRR9162906_456_4,0,0,0,0,0,0,0,0,0,0,0,0,0,34,65,2,0,10,0,0
vRhyme_unbinned_7__SRR9162906_456_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
vRhyme_unbinned_7__SRR9162906_456_7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,0,0,0
vRhyme_unbinned_7__SRR9162906_456_8,1,38,15,18,44,15,16,2,6,5,2,2,1,68,105,30,0,100,13,0
vRhyme_unbinned_7__SRR9162906_456_9,9,212,20,15,157,24,18,18,0,37,7,11,4,147,133,28,3,119,46,0
vRhyme_unbinned_7__SRR9162906_456_11,0,1,27,4,6,15,13,0,0,8,0,0,39,42,96,1,0,51,0,0
vRhyme_unbinned_7__SRR9162906_456_12,0,11,75,7,8,5,25,0,0,48,0,0,55,176,254,6,0,106,0,0
vRhyme_unbinned_6__SRR9162906_161_5,285,241,0,347,0,0,100,187,2,0,33,18,2,202,84,0,0,0,45,0
vRhyme_unbinned_6__SRR9162906_161_7,553,647,6,1203,0,0,163,522,0,0,48,96,0,759,149,0,2,2,124,15
vRhyme_unbinned_6__SRR9162906_161_10,237,188,2,515,0,0,89,155,0,0,23,38,0,221,48,0,0,0,29,0
vRhyme_unbinned_6__SRR9162906_161_14,580,638,6,1421,0,0,233,344,0,0,66,101,2,701,135,0,0,0,74,0
vRhyme_unbinned_6__SRR9162906_161_21,1328,1902,33,4784,0,0,349,2168,0,0,120,297,0,2027,279,0,4,0,190,18
vRhyme_unbinned_6__SRR9162906_161_24,324,370,0,1156,0,0,97,684,0,0,23,75,0,398,72,0,0,0,38,0
vRhyme_unbinned_6__SRR9162906_161_28,533,655,2,1876,0,0,216,687,0,0,55,111,0,663,104,0,0,0,72,4
vRhyme_unbinned_6__SRR9162906_161_31,338,396,3,1134,0,0,143,345,0,0,28,41,0,397,68,0,0,0,53,0
vRhyme_unbinned_6__SRR9162906_161_36,9,249,0,407,0,0,64,4,0,0,18,29,0,355,41,0,0,0,34,1
vRhyme_unbinned_9__SRR9162906_5_fragment_1_85,3,0,13,21,19,0,36,0,64,1,0,7,17,80,98,5,0,6,0,10
vRhyme_unbinned_9__SRR9162906_5_fragment_1_86,4,4,2,0,2,3,0,11,0,0,0,0,2,8,35,0,0,2,5,0
vRhyme_unbinned_9__SRR9162906_5_fragment_1_87,29,21,2,5,3,4,0,46,1,7,0,0,3,35,35,4,0,5,7,0
vRhyme_unbinned_9__SRR9162906_5_fragment_1_89,0,2,0,0,14,5,0,0,2,0,3,0,3,35,78,7,0,7,1,0
vRhyme_unbinned_9__SRR9162906_5_fragment_1_93,0,11,4,4,14,0,8,0,27,0,2,0,0,14,36,5,0,12,0,0
vRhyme_unbinned_9__SRR9162906_5_fragment_1_95,0,0,0,0,1,0,7,0,9,0,0,0,0,2,8,0,0,0,0,0
vRhyme_unbinned_54__SRR9162906_6_fragment_1_13,1,3,1,0,3,2,2,8,3,1,0,0,0,2,32,0,0,0,11,1
vRhyme_unbinned_54__SRR9162906_6_fragment_1_16,39,724,71,0,149,0,0,177,314,0,11,9,27,591,293,4,39,22,86,489
vRhyme_unbinned_54__SRR9162906_6_fragment_1_17,33,452,17,39,57,18,12,146,32,122,3,6,9,462,312,5,12,36,69,49
vRhyme_unbinned_54__SRR9162906_6_fragment_1_19,8,64,10,8,8,1,2,21,8,7,4,0,2,84,51,0,0,6,11,4
vRhyme_unbinned_54__SRR9162906_6_fragment_1_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vRhyme_unbinned_54__SRR9162906_6_fragment_1_23,7,195,17,43,3,3,6,148,22,55,0,2,2,196,113,2,3,24,17,13
vRhyme_unbinned_54__SRR9162906_6_fragment_1_29,10,163,7,4,7,13,2,41,13,41,0,0,5,171,124,0,4,12,13,18
vRhyme_unbinned_54__SRR9162906_6_fragment_1_30,1,0,0,2,7,3,2,4,4,0,0,0,0,0,24,2,0,0,7,2
vRhyme_unbinned_54__SRR9162906_6_fragment_1_34,17,340,36,24,13,4,0,290,11,142,0,0,4,293,145,2,4,23,18,45
vRhyme_unbinned_54__SRR9162906_6_fragment_1_35,18,116,6,9,15,1,1,93,9,7,0,0,0,116,73,0,4,8,12,18
vRhyme_unbinned_15__SRR9162906_414_15,0,0,0,0,0,0,2,0,0,0,0,0,2,3,12,0,0,0,0,0
vRhyme_unbinned_49__SRR9162906_55_fragment_4_60,0,0,0,1,0,0,7,0,0,0,0,0,0,0,19,0,0,0,0,0
vRhyme_unbinned_49__SRR9162906_55_fragment_4_61,0,2,6,18,0,0,31,0,0,0,5,5,0,2,39,0,0,2,0,0
vRhyme_unbinned_49__SRR9162906_55_fragment_4_66,0,2,4,9,24,9,23,5,0,5,0,0,6,2,37,0,0,9,0,0
vRhyme_unbinned_45__SRR9162906_431_1,32,0,96,280,88,4,68,224,37,26,17,18,18,568,322,22,13,19,0,75
vRhyme_unbinned_45__SRR9162906_431_3,27,23,0,0,0,12,0,131,41,29,0,0,0,214,247,2,0,18,5,4
vRhyme_unbinned_45__SRR9162906_431_4,27,30,4,0,0,20,0,167,38,150,0,0,0,376,239,5,0,16,4,29
vRhyme_unbinned_45__SRR9162906_431_9,4,7,0,0,0,0,0,4,0,2,0,0,0,64,51,0,0,0,0,0
vRhyme_unbinned_45__SRR9162906_431_11,7,50,0,0,0,8,0,7,37,32,0,2,3,329,202,0,0,7,2,50
vRhyme_unbinned_17__SRR9162906_471_5,18,6,11,0,11,57,11,20,9,18,16,37,16,16,56,17,0,51,3,0
vRhyme_unbinned_17__SRR9162906_471_7,34,76,2,7,130,0,4,19,4,0,254,387,5,8,245,142,0,850,9,2
vRhyme_unbinned_50__SRR9162906_348_9,29,851,310,23,96,94,17,121,254,50,0,4,140,239,281,205,0,1782,143,10
vRhyme_unbinned_50__SRR9162906_348_13,37,710,240,26,83,69,12,177,235,64,0,0,136,173,288,144,0,1396,167,19
vRhyme_unbinned_50__SRR9162906_348_16,2,9,0,2,5,5,3,11,35,4,0,0,8,0,15,6,0,33,20,0
vRhyme_unbinned_50__SRR9162906_348_17,8,486,145,3,55,35,8,94,179,25,0,0,67,99,157,127,0,945,113,11
vRhyme_unbinned_1__SRR9162906_404_1,0,0,0,0,0,0,0,0,0,0,0,0,0,142,110,0,0,0,0,0
vRhyme_unbinned_1__SRR9162906_404_2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,32,0,0,0,0,0
vRhyme_unbinned_1__SRR9162906_404_3,0,0,0,0,0,0,0,0,0,0,0,0,0,87,63,0,0,0,0,0
vRhyme_unbinned_1__SRR9162906_404_5,0,0,0,0,0,0,0,0,0,0,0,0,0,53,116,0,0,0,0,0
vRhyme_unbinned_1__SRR9162906_404_8,0,0,0,0,0,0,0,0,0,0,0,0,0,254,300,0,0,0,0,0
vRhyme_unbinned_1__SRR9162906_404_9,0,0,0,0,0,0,0,0,0,0,0,0,0,113,75,0,0,0,0,0
vRhyme_unbinned_1__SRR9162906_404_12,0,6,2,0,1,3,8,0,31,0,0,0,1,18,50,2,0,7,3,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_10,0,0,1,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0,0,8
vRhyme_unbinned_11__SRR9162906_66_fragment_1_13,0,0,0,0,0,0,0,0,0,0,0,0,0,59,72,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_14,0,0,0,0,0,0,0,0,0,0,0,0,0,68,70,0,0,0,0,20
vRhyme_unbinned_11__SRR9162906_66_fragment_1_22,0,0,0,0,0,0,0,0,0,3,0,0,0,63,36,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_24,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_25,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_27,0,0,0,0,0,0,0,0,1,0,0,0,0,15,31,0,0,3,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_28,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_34,0,0,0,0,0,0,0,0,0,0,0,0,0,62,83,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_36,0,0,0,0,0,0,0,0,0,0,0,0,0,49,47,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_39,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_40,0,0,0,0,0,0,0,0,0,0,0,0,0,70,82,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_46,0,0,0,0,0,0,0,0,0,0,0,0,0,101,75,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_47,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_50,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_51,0,0,0,0,0,0,0,0,0,0,0,0,0,99,119,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_56,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_61,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_62,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_66,0,0,0,0,0,0,0,0,0,0,0,0,0,23,49,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_67,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_68,0,0,0,0,0,0,0,0,0,0,0,0,0,25,51,0,0,0,0,0
vRhyme_unbinned_11__SRR9162906_66_fragment_1_71,377,488,222,20,0,31,0,298,38,81,0,0,122,424,178,18,4,33,143,12
vRhyme_unbinned_30__SRR9162906_2_fragment_6_270,0,0,0,0,0,0,0,0,9,0,0,0,0,275,161,0,0,0,0,12
vRhyme_unbinned_30__SRR9162906_2_fragment_6_272,0,0,0,0,0,0,0,0,5,0,0,0,0,222,147,0,0,0,0,2
vRhyme_unbinned_30__SRR9162906_2_fragment_6_273,0,0,0,0,0,0,0,0,9,0,0,0,0,242,162,0,0,0,0,4
vRhyme_unbinned_30__SRR9162906_2_fragment_6_274,0,0,0,0,0,0,0,0,5,0,0,0,0,241,154,0,0,0,0,9
vRhyme_unbinned_30__SRR9162906_2_fragment_6_276,0,0,0,0,0,0,0,0,24,0,0,0,0,211,303,0,0,0,0,2
vRhyme_unbinned_30__SRR9162906_2_fragment_6_277,0,0,0,0,0,0,0,0,35,0,0,0,0,843,487,0,0,0,0,31
vRhyme_unbinned_30__SRR9162906_2_fragment_6_278,0,0,0,0,0,0,0,0,3,0,0,0,0,105,79,0,0,0,0,8
vRhyme_unbinned_30__SRR9162906_2_fragment_6_280,0,0,0,0,0,0,0,0,26,0,0,0,0,374,184,0,0,0,0,26
vRhyme_unbinned_30__SRR9162906_2_fragment_6_283,0,0,0,0,0,0,0,0,21,0,0,0,0,199,99,0,0,0,0,0
vRhyme_unbinned_30__SRR9162906_2_fragment_6_287,0,0,0,0,0,0,0,0,3,0,0,0,0,239,227,0,0,0,0,0
vRhyme_unbinned_30__SRR9162906_2_fragment_6_288,0,0,0,0,0,0,0,0,35,0,0,0,0,780,367,0,0,0,0,72
vRhyme_unbinned_30__SRR9162906_2_fragment_6_289,0,0,0,0,0,0,0,0,2,0,0,0,0,4,17,0,0,0,0,0
vRhyme_unbinned_30__SRR9162906_2_fragment_6_294,0,0,0,0,0,0,0,0,3,0,0,0,0,92,64,0,0,0,0,4
vRhyme_unbinned_30__SRR9162906_2_fragment_6_296,0,0,0,0,0,0,0,0,12,0,0,0,0,114,104,0,0,0,0,13
vRhyme_unbinned_30__SRR9162906_2_fragment_6_299,0,0,0,0,0,0,0,0,1,0,0,0,0,99,78,0,0,0,0,4
vRhyme_unbinned_30__SRR9162906_2_fragment_6_302,0,0,0,0,0,0,0,0,12,0,0,0,0,332,186,0,0,0,0,14
vRhyme_unbinned_10__SRR9162906_5_fragment_4_236,0,38,11,23,15,0,4,0,31,0,3,5,5,54,45,5,0,56,6,9
vRhyme_unbinned_23__SRR9162906_128_fragment_1_23,10,30,3,0,2,7,4,4,7,36,0,0,5,22,32,2,0,3,14,6
