,SRR8487021,SRR8487020,SRR8487015,SRR8487022,SRR8487040,SRR8487010,SRR8487035,SRR8487024,SRR8487013,SRR8487037,SRR8487032,SRR8487025,SRR8487034,SRR8487027,SRR8487017,SRR8487029,SRR8487014,SRR8487028,SRR8487023,SRR8487012,SRR8487011,SRR8487019,SRR8487030,SRR8487016,SRR8487036,SRR8487026,SRR8487031,SRR8487038,SRR8487039,SRR8487018
SRR8487014_vRhyme_bin_11,3.5858822,1.0519667,0.4237195,1.4940021,0,1.4953364,2.5379567,0,0,0,0,0,1.3648835,0,2.400443,0,5.8110495,0,3.3369148,0,0.9296855,3.2140975,0,3.6976998,1.2938604,0,0,0,0,3.278896
SRR8487017_vRhyme_unbinned_205,0.45400658,4.4848595,0,7.641908,0,2.7119696,0.09634338,0,0,0,0,0,0.8193115,0,4.877089,0,0.4436509,0,0.7993858,0,2.0430653,5.035638,0,4.333238,0,0,0,0,0,1.0054992
SRR8487017_vRhyme_unbinned_455,18.570745,0.45264164,2.594876,1.8585097,0.14351015,3.5256724,17.610184,0,0,0,0,0,9.550866,0,4.3633466,0,15.302328,0,15.65919,0,3.6153927,10.424578,0,3.2031467,9.526097,0,0,0,0,16.647072
SRR8487023_vRhyme_unbinned_203,6.4021153,1.3808603,0.7830774,5.527509,0,1.726533,7.370589,0,0,0,0,0,5.6984644,0,1.731618,0,5.606834,0,7.357368,0,1.4928303,4.594122,0,1.5215092,4.1997356,0,0,0,0,8.185193
SRR8487034_vRhyme_unbinned_294,24.693367,0.14289701,0.8798958,2.9253883,0,0.21267095,5.3347287,0,0,0,0,0,7.7969112,0,0.16261978,0,0.8626849,0,29.019815,0,0.4210624,29.025398,0,0.104474835,1.9949763,0,0,0,0,3.5671225
SRR8487010_vRhyme_unbinned_245,0,0,0.21119177,0,0,7.413084,1.2360715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47948447,0,0,0,0.3107105,0,0,0,0,0
SRR8487018_vRhyme_unbinned_887,9.377626,0.45966733,0.8356053,1.3540521,0,0.69490993,4.701288,0,0,0,0,0,6.0796647,0,0.7052276,0,3.18997,0,5.3461733,0,1.6693972,0.3658079,0,0.47067285,6.5041895,0,0,0,0,9.568472
SRR8487018_vRhyme_unbinned_817,28.163105,29.029772,0,44.397438,0.15830332,0.79887956,2.0741897,0,0,0,0,0,5.1239696,0,0.22721088,0,16.657623,0,3.1747098,0,0.84481794,3.7735095,0,13.751261,4.930692,0,0,0,0,37.808323
SRR8487019_vRhyme_unbinned_7,0,0,0,0.38626742,0,1.3458723,0,0,0,0,0,0,0,0,5.4800673,0,0,0,0,0,2.8237784,10.634371,0,0.9360117,0,0,0,0,0,0
SRR8487017_vRhyme_unbinned_725,1.2731673,0.3504416,0.1258921,0.79565775,0,5.252878,1.2574991,0,0,0,0,0,0,0,14.780209,0,0.35842606,0,1.8461623,0,6.232479,6.103087,0,5.1512127,0.44507945,0,0,0,0,0.21249077
SRR8487022_vRhyme_unbinned_285,5.0745077,1.998547,0.47981918,3.1941395,0,6.7941556,9.262512,0,0,0,0,0,1.6375525,0,2.25,0,8.498709,0,7.937359,0,5.968518,3.0079916,0,5.6734743,11.684695,0.09783661,0,0,0,6.3478365
SRR8487017_vRhyme_unbinned_319,0,3.8952434,0,3.472065,0,0.5742733,0,0,0,0,0,0,0.3632503,0,4.8236127,0,0,0,0,0,2.1884673,1.9877312,0,2.0991883,0,0,0,0,0,0.11655342
SRR8487017_vRhyme_unbinned_197,0.2688025,1.8941835,0.07576983,5.536734,0,2.9906688,0.445972,0,0,0,0,0,0.52790046,0,5.019782,0,0.6731571,0,0.6064697,0,3.9975116,3.6267495,0,2.934619,0.5124728,0,0,0,0,0.5178227
