,SRR9162899,SRR9162906,SRR9161507,SRR9162908,SRR9161510,SRR9161509,SRR9162905,SRR9161500,SRR9161503,SRR9162907,SRR9161502,SRR9162900,SRR9161506,SRR9162904,SRR9161505,SRR9161501,SRR9161504,SRR9162901,SRR9162903,SRR9162902
SRR9161506_vRhyme_unbinned_291,0,0.48256117,2.3062394,0.92541087,0,1.4822637,0.8085818,6.4015765,1.1480627,0.10292259,12.411691,0,29.472744,0,4.097048,2.9245186,0,0.8946977,0,0
SRR9161506_vRhyme_unbinned_287,0,0,0,0,0,0,5.9241033,0,0.47718695,0,0,0,77.265144,0,0,0,1.1281929,0,0.7863451,0
SRR9161503_vRhyme_unbinned_75,0,0,0,0,0,0,0,0,53.01655,0,0,0,0,0,0,0,0,0,0,2.7046967
SRR9161509_vRhyme_unbinned_75,0,0,0,0,0.11029875,90.23623,0,0,0,2.6600277,0,0,0,0,0,0,0,0,0,0
SRR9161503_vRhyme_unbinned_134,0,0,0,0.43156272,1.225253,7.8586435,0,6.2456317,25.04531,0.3365314,29.827515,0,0,0.23768339,19.349277,0,0,0.9412795,0,0.12101264
SRR9161502_vRhyme_unbinned_149,0,0,0,0,0,9.959447,0.7372001,0,0,1.2859367,12.862737,0,19.223646,0,0,0,0,4.646782,0,0
SRR9161509_vRhyme_unbinned_26,0,0,0,0,0.63706046,96.65673,0,0,0,2.7094233,0.312768,0,0,0,0,0,0.51704544,0,0,0
SRR9161505_vRhyme_unbinned_81,1.2867879,0,0,0,0,1.4534141,0,2.477899,0,0,0.22214141,0,1.8535757,5.6840405,42.1743,0,0.8508283,0,0.19507071,0
SRR9161506_vRhyme_unbinned_222,0,0,0,0,0,7.63874,0.30650708,0,0,3.4676023,0,0,22.802174,0,0,0,0.19225478,0,1.2073188,0
SRR9161506_vRhyme_unbinned_363,0,0,6.0679445,0,0,2.1820931,1.6939662,0.9638868,0,0,2.525408,0,57.4533,0,0,0,0.8730648,0,0,0
SRR9161510_vRhyme_unbinned_101,0,0,0,0,28.63497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161501_vRhyme_bin_5,0,0,0,0,0,0,0,0,0,0,0.61381596,0.34288236,0,0,0,20.063166,0,0,0,0
SRR9161503_vRhyme_unbinned_156,0,0,0,0,0,0,0,0,26.897903,0,0,0,0,8.839453,5.2449293,0,0,0,0,7.1196404
SRR9161505_vRhyme_unbinned_114,0.5176909,2.303943,9.020727,15.073597,3.340863,6.6066713,0.48328072,4.2609506,1.3177071,0.3702534,2.616873,1.1429844,13.277549,0.92114,17.022995,7.749818,1.4179418,0,0,0
SRR9161506_vRhyme_unbinned_343,0,0,0.37937677,0,0,2.1391356,0.21888089,0,0.17029653,0,0.89311445,0,16.577902,0,0.11995309,5.055202,0,0,0,0
SRR9161503_vRhyme_unbinned_111,0,0.20166913,0,0,0,0,0,0.39731672,86.05757,0,0,10.998943,0,44.903442,425.5784,8.1105,0,0,0,10.345869
SRR9161502_vRhyme_unbinned_132,0.41467065,0,0,0,0,0.23502994,0,0.11386052,0,0.09827404,28.891247,0,0,0,0,0,0.4989433,20.071327,0,0
SRR9161503_vRhyme_unbinned_56,0,0,0,0.109779075,0,51.517727,0,0.8506594,7.790118,3.8627334,0,0,0,0,0,0.56156874,0,0,0,0.3094708
SRR9162908_vRhyme_unbinned_14,9.750279,0,0,7.679046,6.2482862,20.849665,1.9505526,38.684677,0,3.0934746,14.211288,3.037313,43.62418,0,0,43.89967,34.902225,4.5387816,3.2053435,0
SRR9161506_vRhyme_unbinned_163,0,0,0,0,0,1.1922898,0,0,8.555267,0,3.8684614,0,12.305949,0,0.7311399,0,0,0,0,0
SRR9161509_vRhyme_unbinned_58,0,0,0,0,0,20.864458,0,0,0,0.55266225,0,0,0,0,0,0,0,0,0,0
SRR9161503_vRhyme_unbinned_60,0,0,1.3246082,0,0,0,0,0,29.492086,0,0,0,0,0,0,0,0,0,0,0.94197506
SRR9161506_vRhyme_unbinned_348,2.2007315,0,0,0,0,1.8804598,3.824765,7.6901774,0,0,0,0,69.59488,0,0,0,3.5532916,0,0,0
SRR9161502_vRhyme_unbinned_177,0,0,0.076043144,0,0,1.2127683,0,0,0,0,15.461597,0,0,0,0,0,0,0.20884629,0,0
SRR9161509_vRhyme_unbinned_251,0,0,0,0,0,31.391632,0,0,0,12.947223,0,0,0,0,0,0,0.62955546,0,3.4542723,0
SRR9161500_vRhyme_unbinned_77,0.51178735,0,0,0,0,0,0,245.22394,0,0,0.1751041,0,0,0,0.26617828,0,0,0,0,0
SRR9162901_vRhyme_unbinned_51,0,0,0,0,0,2.4680114,0,0.23282401,0,0.24859844,197.08046,0.33021876,0,0,0,1.5585908,0,42.73112,0,0
SRR9161502_vRhyme_unbinned_259,0,0,0,0,0,0,0,0,0,0,165.06226,0,0,0,0,0,0,6.7849503,0,0
SRR9161509_vRhyme_unbinned_157,0,0,1.5466902,0,0,98.91297,0,0,0,46.239628,0,0,0,0,0,0,0,0,0,0
SRR9161509_vRhyme_unbinned_4,0,0,0,0,0,36.35028,0,0,0,2.5792432,0,0,0,0,0,0,0,0,0,0
SRR9161501_vRhyme_unbinned_100,0,0,0,0,0,0,0,0,0,0,0,0.28997424,0,0,0,21.685358,0,0,0,0
SRR9162903_vRhyme_unbinned_68,0,0,0,0,0,1.0462031,0,0,0,0,0,0,0,0,1.8381554,0,19.627972,0,4.885961,0
SRR9161506_vRhyme_unbinned_67,0,0,0,0,0,0.9300629,0.49335626,0,0,0,0.14936529,0,17.720785,0,0,0,0,0,0,0
SRR9161507_vRhyme_unbinned_47,3.0307727,2.790186,23.008469,0,0,1.3422804,0,1.4758809,1.7827008,1.0332679,0.62528354,0,0,0,0,0,0.4590201,0.4029185,0,0
SRR9161500_vRhyme_unbinned_128,0,0,0,0,0,0,0,26.084532,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161506_vRhyme_unbinned_454,0,0,0,0,0,2.3912969,3.2393904,0,0,0.26970366,7.3786616,0,28.98136,0,0,0,0,0.06493286,0,0
SRR9161509_vRhyme_unbinned_197,0,0,0,0,0,22.305943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161506_vRhyme_unbinned_491,0,0,0,0,0,0.29339403,1.5303938,0.12596853,0,0,0,0,37.832256,0,0,0,0.10496046,0,0,0
SRR9161504_vRhyme_unbinned_95,1.945946,0.12995768,1.8327581,0,0,0,0,11.1803,0,0,2.6522305,0,1.8017584,0,0,0,42.892803,0,2.0474112,0
SRR9161500_vRhyme_unbinned_64,0.736977,0,0,0,0,0.39947006,0,205.0799,0,0,0,0,0,0,0,0,0.39006492,0,1.0425706,0
SRR9161504_vRhyme_unbinned_26,0.36412567,0.14521089,0.924978,0,0,2.2422013,0,0.9116872,1.0698594,0.5159271,0.7010105,0,3.64587,0,0,0.28613797,43.448925,0,1.879833,0
SRR9161503_vRhyme_unbinned_39,0,0,0,0,0,0,0,0,15.50848,0,0,0,0,0,0,0,0,0,0,0.49786702
SRR9161507_vRhyme_unbinned_17,0,1.6326747,17.92944,0,0,0.60387707,0,0,0,0,0.19946393,0,0,0,0.8103534,0,0,0,0,0
SRR9161509_vRhyme_unbinned_28,5.2023892,2.8569438,23.706223,6.0549526,1.9937283,21.224092,2.3113987,9.2841215,2.0987556,3.9642608,7.3530116,21.42668,34.207565,0.24599303,0.38476855,17.273968,18.086212,5.1230464,1.4263812,0
SRR9161501_vRhyme_unbinned_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.288414,0,0,0,0
SRR9161502_vRhyme_unbinned_127,0,2.2448514,0.09571527,8.478784,0,1.1547339,0.09882516,0,0.21202488,0,31.07132,0,4.7937803,0,0.14872149,0,0,1.4885972,0,0.32985488
SRR9161502_vRhyme_unbinned_128,1.607865,0.112697,0.3632917,0.13856676,0,1.4519031,0.42209336,0,2.6618347,0,73.43525,0,14.936217,0,0.35950044,1.4711567,2.8913174,4.4053674,0.3547428,0
SRR9162906_vRhyme_unbinned_25,0,8.435675,1.5495131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161503_vRhyme_unbinned_25,0.31276363,0,0,0.21568991,0.44854483,1.0925901,0,19.404398,132.90953,0,6.2395935,0,3.1203938,0,1.7145358,0,0.907118,0.22566524,0,3.7448332
SRR9161502_vRhyme_unbinned_162,0,0.35349086,33.652954,0,0,2.4816327,0,0.42320085,0.58506984,0,11.283673,0,0,0,5.250698,0,0,0.6698174,0,0
SRR9161505_vRhyme_unbinned_87,0,0,0,0,0,0,0,0,0,0,0,0,0,5.916378,152.39645,0,0,0,0,0
SRR9161506_vRhyme_unbinned_7,0.22890413,0.1576009,8.588371,0.5321423,0,11.052481,1.8643324,0.8491785,5.645079,0.80100495,4.0598183,0,39.291035,0,1.7611262,0,1.3551604,0.16254586,0,0.34423354
SRR9161502_vRhyme_unbinned_232,0,0,0,0,0,0,0,0,0,0,16.603083,0,0,0,0,0,0,0.7360121,0,0
SRR9161504_vRhyme_unbinned_48,0,0,0,0,0,0,0,0,94.433914,0,0.9042533,0,0,20.710375,32.391094,0,26.757963,0,2.2252526,16.363152
SRR9161500_vRhyme_unbinned_33,6.1247063,0,0,0,0,0,0,904.4862,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161502_vRhyme_unbinned_251,0,0,0,0,0,8.067577,0,0,0,0.70988953,26.986195,0,0,0,0,0,0,0.49040836,0,0
SRR9161505_vRhyme_unbinned_28,0,0,0,0,0,0,0,0,1.0847224,0,0,0,0,3.9976056,39.09025,0,0,0,0,0
SRR9161507_vRhyme_unbinned_86,0.33402586,1.9335688,16.612164,0,0,0,0,4.6241107,0,0,3.1334338,0,0,0,0,0,2.8133278,0.07572846,0.12585051,0
SRR9161509_vRhyme_unbinned_22,0.7636661,0,0,0,0,11.44416,0,12.109533,0,0.5407173,2.2118115,0,1.2221314,0,0,6.9307246,0,0.09686319,0,0
SRR9161506_vRhyme_unbinned_89,0,0,0,0,0,0,0.13349351,0,0,0,0,0,13.011245,0,0,0,0,0,0,0
SRR9161502_vRhyme_unbinned_184,0,0,0.14461932,0,0,0,0,0,0,0,24.83539,0,0,0,0,0,0,0.92120373,0,0
