,SRR9161502,SRR9161504,SRR9161503,SRR9162903,SRR9161510,SRR9161505,SRR9162901,SRR9162902,SRR9162906,SRR9161500,SRR9162899,SRR9161509,SRR9161501,SRR9161507,SRR9162900,SRR9162905,SRR9162908,SRR9161506,SRR9162904,SRR9162907
SRR9161502_vRhyme_unbinned_187,1,0.023769023,0.57755965,0.006896235,0.005838812,0,0.99970114,0.3254333,0,0.022596663,0.006551423,0,0.01107995,0,0,0,0,0.004850352,0,0
SRR9162905_vRhyme_bin_1,0.077314645,0,0,0,0.008362807,0,0,0,0,0.078537665,0,0,0.46527618,0,0,0.98803425,0,0.99705815,0,0
SRR9161507_vRhyme_unbinned_168,0.37083295,0.11497842,0.08641749,0.06676462,0.026081366,0.07796859,0.069795206,0,1,0.31995592,0.28331342,0.85333824,0.04674442,0.99990815,0.027458904,0.58609605,0.032142527,0.7432271,0,0.7162274
SRR9161505_vRhyme_unbinned_47,0.20407636,0.018382354,0.111455105,0,0.03115325,0.9980005,0.04508514,0.019349845,0.20884933,0.094104744,0.03844169,0.38989937,0,0.60694015,0,0.0630805,0.009674923,0.9226006,0.92156863,0.14551084
SRR9161502_vRhyme_unbinned_212,0.9935355,0,0.831638,0,0,0.15315144,0.5715372,0.1978325,0.23538359,0.033273123,0.01425991,0,0.844567,0.7018728,0.106283866,0,0.028139558,0.13803594,0,0.015115505
SRR9162905_vRhyme_unbinned_31,0.112747535,0,0,0,0,0,0,0,0,0.1501642,0,0,0,0,0,1,0,1,0,0
SRR9161500_vRhyme_unbinned_150,0.018128369,0,0,0,0,0,0,0,0,1,0.8685285,0.013718765,0,0,0,0,0,0,0,0
SRR9161503_vRhyme_bin_11,0.24378431,0.16302982,0.9909905,0.008067182,0.013654698,0.06253719,0.1364974,0.65236723,0,0.15311116,0.1317695,0.0845897,0.17028698,0,0.17286584,0.12256166,0.05399061,0.1501025,0.05919791,0.004959334
SRR9161501_vRhyme_unbinned_5,0.11927137,0.2938583,0.05179709,0.5283481,0.016746093,0.5330691,0.08800606,0.06359952,0.08849597,0.08742707,0.2446889,0.22776467,0.99710506,0.07874226,0.97367835,0.032556895,0.1335679,0.18536499,0.6044627,0.38948023
SRR9162900_vRhyme_unbinned_28,0.48718154,0,0.006249501,0,0,0,0.3938583,0,0.6635652,0.18738519,0.036358915,0.9554548,1,0.98045284,0.99990016,0,0.001437585,0,0,0.20152144
SRR9161506_vRhyme_unbinned_344,0.20906281,0,0,0,0,0.32296044,0,0,0,0.1988755,0.022128204,0,0,0,0,0.41589892,0,0.999165,0.022072537,0
SRR9161500_vRhyme_unbinned_59,0.32467562,0,0.16501758,0,0.006444473,0.01254177,0.18348305,0.006509569,0,0.99898016,0.6195374,0,0,0,0,0.107472986,0,0.38493252,0,0
SRR9161509_vRhyme_unbinned_122,0.45393953,0,0,0,0.011096217,0.18684837,0.048406314,0,0.106307715,0.7594578,0.55886954,0.9998883,0.012101579,0.6724754,0,0.036937743,0.48689306,0.61222816,0.008564195,0.93796545
